nom_produit,prix,categorie,note
Bracelet de montre compatible avec la montre Chanel J12 en céramique véritable 16/19 mm,"40,60€",Luxe et Beauté,"5,0"
Chanel - L’allure du maquillage,"148,00€",Luxe et Beauté,N/A
"Charrier Parfums Les Parfums de France, Collection Fashion, Coffret de 5 Eau de Parfums Miniatures, 51.8 ml","15,80€",Luxe et Beauté,"4,3"
Chanel défilés nouvelle édition,"59,00€",Luxe et Beauté,"4,8"
Paul & Joe Beauté Boîtier Compact,"6,30€",Luxe et Beauté,"3,5"
CHANEL PARFUM,N/A,Luxe et Beauté,"2,6"
"DKNY Be Tempted Eau de parfum Be Tempted Ligne : Be Tempted, contenance : 30 ml","29,30€",Luxe et Beauté,"4,4"
Coffret 3 Livres Chanel en français,N/A,Luxe et Beauté,"4,7"
VOSHUILES - Roll-On Verre Blanc Transparent 30ml - Emballage Cosmétique Parfum N°5 L'Eau de Chanel - Flacon Rechargeable pour Huiles Essentielles et Parfums,"9,20€",Luxe et Beauté,"3,9"
PHOTO 146 NOVEMBRE 1979 VIETNAM HAMILTON OMBRES DE L'ETE CRAZY HORSE BEAUTES NUES CHANEL,N/A,Luxe et Beauté,N/A
Ocudox Blefaritis Sol Electrolizada 60Ml,"23,94€",Luxe et Beauté,"4,6"
Parfum Alasense inspiré par Allure Sensuelle - Parfum Chanell - 50 ml,N/A,Luxe et Beauté,N/A
The Little Black Jacket: Chanel's Classic Revisted,N/A,Luxe et Beauté,"4,4"
"Magnet by FETEN Parfum pour Homme de Marque 100ml, Eau de Parfum Masculin, Fragrance for Men","58,18€",Luxe et Beauté,"3,9"
Parfum Alaska inspiré par Allure Homme - Chanell Men - 50 ml,N/A,Luxe et Beauté,N/A
Chanel,N/A,Luxe et Beauté,"5,0"
PAUL & JOE Brume Fixante Maquillage | Travel Size 50ml 1.6oz,"18,00€",Luxe et Beauté,N/A
PAUL & JOE Kit Base de Maquillage Hydratante 01 (Avec Stick Lèvres & Joues),"29,25€",Luxe et Beauté,"4,0"
"PAUL & JOE 'SAKURA COLLECTION' Base De Maquillage Étincelante S 002, 15ml","17,00€",Luxe et Beauté,N/A
PAUL & JOE Fond de teint illuminateur 01 lavande nacré 30 ml,"34,00€",Luxe et Beauté,"4,2"
"Riiffs Parfum Seasons Drift - Frais, Bois, Aromatique - Eau de Parfum Parfum Long-Lasting Fragrance for Women, 3.4 oz / 100 ml","47,99€",Luxe et Beauté,"4,1"
"Coco Chanel Impression de beauté pour la maison, décoration moderne, citation en noir et blanc, pour salon, chambre à coucher, couloir, salle de bain, cuisine, bureau, poster A4 sans cadre","20,09€",Luxe et Beauté,N/A
EXPRESS STYLES (L') [No 3050] du 17/12/2009 - ANNA MOUGLALIS / CHANEL ETAIT PUNK - MODE - BEAUTE - SPECIAL CADEAUX - COGNACS ET WHISKYS MILLESIMES - NOS 10 PALACES A PRIX DOUX,N/A,Luxe et Beauté,N/A
"Mauboussin - Rose Pour Elle 100ml - Eau de Parfum Femme - Senteur Florale, Fruitée & Fraîche","39,90€",Luxe et Beauté,"4,5"
