nom_produit,prix,categorie,note
"BIODANCE Bio-Collagen Masque Profond Réel, Masque Hydrogel, Minimisation des Pores, Amélioration de l'Élasticité, Skincare Coréenne| 34 g (1,19 oz) x 4 pièces","14,10€",Cosmétique et Beauté,"4,2"
"CeraVe - Gel Moussant Anti-Imperfections - Purifie la Peau en douceur et Réduit les Imperfections - Acide Salicylique, Argile Blanche, Céramides et Niacinamide - Peau à Tendance Acnéique","8,81€",Cosmétique et Beauté,"4,6"
Erborian - CC Red Correct Crème Teintée Anti-Rougeur - Soin du Visage Perfecteur Automatique de Teint avec Correction Colorielle - Teint Unifié - SPF 25 - Cosmétique Coréen,"15,89€",Cosmétique et Beauté,"4,5"
"Erborian - BB Crème au Ginseng 5-en-1 - Soin Teinté Perfecteur Effet ""Peau de Bébé"" - Fond de Teint Couvrant Imperfections - Protection Solaire SPF 20 - Soin Cosmétique Coréen","15,89€",Cosmétique et Beauté,"4,4"
"Medicube triple collagene et acide hyaluronique, à l'élastine premium et au beurre de karité – anti ride et crème hydratante visage – skincare coreen, 50 ml","17,70€",Cosmétique et Beauté,"4,5"
L'Oréal Paris - Age Perfect Sérum Anti-Âge 2 en 1 Le Duo - Formule Booster de Collagène - Vitamines B3 et Cg - Age Perfect - Contenance : 30 ml,"21,99€",Cosmétique et Beauté,"4,4"
Clinique Moisture Surge Soin Auto-Réhydratant 100H à l'Acide Hyaluronique + Bio-Ferment d'Aloe Vera Tous types de peaux | Crème hydratante,"42,50€",Cosmétique et Beauté,"4,5"
L'Oréal Paris - Revitalift - Soin Anti-Âge Hydratant & Raffermissant - Crème de Jour Anti-Rides & Extra-Fermeté - Enrichi en Pro-Rétinol - Pour Tous Types de Peaux - 50 ml,"5,40€",Cosmétique et Beauté,"4,5"
RoC - Multi Correxion Renouveau + Eclat Baume pour les yeux - Contient de la vitamine C - Hypoallergénique - 4 g,"29,70€",Cosmétique et Beauté,"4,0"
"Vichy, Minéral 89, Soin Yeux, Fortifie & Répare, Enrichi en Acide Hyaluronique & Caféine, Pour Tous Types de Peau, 15 ml","15,29€",Cosmétique et Beauté,"4,4"
"Elizabeth Arden, Eight Hour Cream, Baume Apaisant Réparateur, Soin pour le Visage, Crème Hydratante pour le Visage Multi-usage, Protège, Répare et Apaise la Peau","17,03€",Cosmétique et Beauté,"4,4"
Erborian - Centella Cleansing - Huile/Gel démaquillante pour visage à la centella asiatica - Tous types de peaux - Soin cosmétique Coréen,"26,00€",Cosmétique et Beauté,"4,5"
"L’Oréal Paris – Midnight Sérum Age Perfect Renaissance Cellulaire - Soin Visage Anti-Rides, Fermeté, Éclat – Au Complexe Antioxydant Protecteur - Tous Types de Peaux – 30 ml","7,84€",Cosmétique et Beauté,"4,4"
"L'Oréal Paris - Sérum Contour des Yeux - Anti-Rides , Anti-Poches & Anti-Cernes - À l'Acide Hyaluronique Pur et à la Caféine - Embout Triple-Bille innovant - Revitalift Filler - 20 ml","14,40€",Cosmétique et Beauté,"4,2"
Nuxe crème prodigieuse boost baume-huile récupérateur nuit 50ml,"21,85€",Cosmétique et Beauté,"4,4"
Clinique Take The Day Off Baume Démaquillant | Dissout Maquillage et Écran Solaire,"22,90€",Cosmétique et Beauté,"4,6"
