nom_produit,prix,categorie,note
"Guy Laroche Fidji Eau de Toilette, Parfum pour Femme, Rafraîchissant, Vif et Floral, Notes d'Ylang-Ylang, Jasmin et Bois de Santal","26,07€",Cosmétique et Beauté,"4,5"
"MUGLER Angel - Eau de Parfum Rechargeable Pour Elle - Parfum Femme - Ambré Gourmand - Patchouli, Accord Praline & Absolu de Vanille - Tenue Longue Durée - Spray Vaporisateur","38,24€",Cosmétique et Beauté,"4,7"
Le roman des Guerlain,"23,00€",Cosmétique et Beauté,"4,5"
"Azzaro Pour Elle - Eau de Parfum pour Femme - Florale, Boisée et Fruitée - Parfum Gourmand - Accords de Citron, Rose et Bois de Santal - Spray Vaporisateur - 100 ml","39,00€",Cosmétique et Beauté,"4,6"
Jean Peste - Fleur d'Anus pour Lui - Eau de Parfum 100ml,"36,50€",Cosmétique et Beauté,"4,4"
"Giorgio Beverly Hills, Eau de Toilette pour Femme Senteur Florale, Spray vaporisateur, Parfum Vanille, Jasmin et Bergamote, Ingrédients Naturels, Eau de toilette de luxe","24,67€",Cosmétique et Beauté,"4,4"
Elizabeth Arden - 5th Avenue - Eau de Parfum Femme Senteur Florale et Fraîche - Spray vaporisateur - Eau de Parfum Femme de Marque - Immuable et Riche en Energie - Intemporel et Moderne,"23,35€",Cosmétique et Beauté,"4,3"
"Drakkar Intense de Guy Laroche - Eau de Parfum Séduisant & Ambré - Intense et Puissant, Notes de Bergamote, Daim et Vanille - Parfum pour Homme - 100 ml","20,55€",Cosmétique et Beauté,"4,4"
Roger&Gallet – Parfum Solide Bienfaisant Fleur de Figuier 5g – Format Nomade – Figue Musc Pamplemousse,"10,80€",Cosmétique et Beauté,"3,9"
"Giorgio Beverly Hills, Brume Parfumée pour Femme Senteur Florale, Spray vaporisateur, Parfum Vanille, Bergamote, Jasmin et Fleurs d'Oranger, Ingrédients Naturels, Brume Parfumée de luxe, 236 ml","8,09€",Cosmétique et Beauté,"4,3"
"AZZARO Wanted Girl - Eau De Parfum Femme - Floral Ambré Gourmand - Accord Fleur de Gingembre, Vétiver Haïtien & Accord Dulce de Leche - Tenue Longue Durée - Spray Vaporisateur","60,64€",Cosmétique et Beauté,"4,5"
"Roger&Gallet - Parfum Solide Bienfaisant Vanille Soleil en Stick - Fragrance Florale Ambrée - Relaxant et Addictif - Notes de Vanilles, Jasmin, Ylang-Ylang - Parfum Sans Alcool - Format Nomade","11,90€",Cosmétique et Beauté,"3,6"
"Cacharel - Amor Amor - Eau De Toilette - Parfum Sensuel, Doux et Romantique pour Femme - Une Fragrance Florale, Fruitée et Ambrée - Parfum de Luxe pour Femme","35,00€",Cosmétique et Beauté,"4,6"
"Mauboussin - Coffret Prestige A La Folie : Eau de Parfum 100ml, Lait Corps 75ml, Travel Spray 20ml & Sac Bandoulière","45,90€",Cosmétique et Beauté,"4,5"
Roger&Gallet – Parfum Solide Bienfaisant Néroli 5g – Format Nomade – Néroli Fleur d'Oranger Immortelle,"9,89€",Cosmétique et Beauté,"3,5"
"AZZARO Pour Homme - Eau De Toilette Homme - Fougère Aromatique Boisée - Patchouli, Vétiver & Santal - Tenue Longue Durée - Spray Vaporisateur","49,19€",Cosmétique et Beauté,"4,6"
"Azzaro - Déodorant Stick pour Hommes, Azzaro The Most Wanted Eau de Parfum Intense, Protection Longue Durée, Notes de Cardamome, Caramel et Bois Ambré, Formule Douce et Régulatrice, 77 g","40,10€",Cosmétique et Beauté,"5,0"
"AZZARO The Most Wanted - Eau De Parfum Intense Homme - Fougère Ambré Boisé - Cardamome, Caramel Fondant & Bois Ambré - Tenue Longue Durée - Spray Vaporisateur","74,95€",Cosmétique et Beauté,"4,6"
Parfum Femme SOLINOTES Fleur d'Oranger - Eau De Parfum | Fragrance Florale et Apaisante - Cadeau Parfait pour Elle - 50 ml,"20,50€",Cosmétique et Beauté,"4,4"
"GUESS Seductive, Eau de Toilette pour Femme, Parfum Fruité Floral, Parfum Sensuel Longue Durée, 75 ml","24,90€",Cosmétique et Beauté,"4,5"
"Azzaro Sport Eau de Toilette - Parfum pour homme frais et pur - Fragrance agrumée, aromatique et boisée - Pour un port quotidien décontracté - Parfum de luxe pour homme","29,95€",Cosmétique et Beauté,"4,6"
NIVEA - Eau De Toilette Femme - Doux & Frais - Fragrance Crème NIVEA - Parfum Cheveux & Corps - Tous Types De Peaux - 30 ml,"35,00€",Cosmétique et Beauté,"4,3"
"Cacharel - Noa - Eau de Toilette - Parfum Féminin Serein, Paisible et Lumineux - Fragrance Florale & Musquée - Parfum de Luxe pour Femme","38,95€",Cosmétique et Beauté,"4,4"
"MUGLER Alien - Eau de Parfum Rechargeable Pour Elle - Parfum Femme - Ambré Boisé Floral - Bois de Cashmeran, Accord de Jasmin Sambac & Ambre Blanc - Tenue Longue Durée - Spray Vaporisateur","56,99€",Cosmétique et Beauté,"4,5"
"GUESS Seductive, Eau de Toilette pour Femme, Parfum Fruité Floral, Parfum Sensuel Longue Durée, 50 ml","21,39€",Cosmétique et Beauté,"4,5"
Parfum Femme SOLINOTES Tiaré - Eau De Parfum | Fragrance Florale et Apaisante - Cadeau Parfait pour Elle - 50 ml,"20,00€",Cosmétique et Beauté,"4,4"
"AYAT PERFUMES – Parfum JUMRAH 100 ml Made in Dubaï – Notes d’Épices, Ambre, Vanille, Cannelle et Bois – Eau de Parfum Oriental Unisexe Femme et Homme (Jumrah)","27,99€",Cosmétique et Beauté,"4,2"
"MUGLER ANGEL Parfum Brume Cheveux et Corps, Parfum pour Femme Ambré Gourmand, Brume pour Femme 100 ml","41,77€",Cosmétique et Beauté,"4,6"
"MUGLER ANGEL NOVA Eau de Parfum Rechargeable, Parfum pour Femme Fruité Floral Boisé, Parfum Féminin","70,52€",Cosmétique et Beauté,"4,6"
"AZZARO Wanted - Eau De Toilette Homme - Boisé Agrume Épicé - Cardamome, Vétiver & Citron - Tenue Longue Durée - Spray Vaporisateur","72,75€",Cosmétique et Beauté,"4,6"
"KÉRASTASE Gloss Absolu - Le Parfum - Parfum Cheveux - Cheveux Plus Doux - Tenue Longue Durée - Citron, Bergamote, Bouquet Floral & Thé Vert - Sental - Vanille - Tous Types de Cheveux - 30 ml","27,31€",Cosmétique et Beauté,"4,4"
Nuxe eau délicieuse parfumante 100ml,"23,68€",Cosmétique et Beauté,"4,6"
NIVEA SUN - Eau De Toilette Femme - Notes Estivales - Fragrance Crème Solaire Originale NIVEA SUN - Parfum Cheveux & Corps - Tous Types De Peaux - 30 ml,"28,50€",Cosmétique et Beauté,"4,2"
Mauboussin - Elixir Pour Elle 100ml - Eau de parfum Femme - Senteur Florale & Orientale,"41,90€",Cosmétique et Beauté,"4,4"
Parfum Femme SOLINOTES Coton - Eau De Parfum | Fragrance Florale et Apaisante - Cadeau Parfait pour Elle - 50 ml,"20,50€",Cosmétique et Beauté,"4,4"
"DIESEL Loverdose - Eau De Parfum Femme - Boisé & Oriental - Mandarine, Vanille & Liqueur De Réglisse - Tenue Longue Durée - Spray Vaporisateur","52,00€",Cosmétique et Beauté,"4,6"
Guerlain - Tome 01: 1re époque : Pierre-François-Pascal (1798/1864),"15,00€",Cosmétique et Beauté,"4,5"
"Cacharel - Yes I Am - Eau de Parfum - Parfum d'une femme Énergique, Affirmée et Confiante - Fragrance Florale - Longue Tenue - Parfum de Luxe pour Femme - 30 ml","37,49€",Cosmétique et Beauté,"4,6"
"MUGLER Angel - Eau de Parfum Rechargeable Pour Elle - Parfum Femme - Ambré Gourmand - Patchouli, Accord Praline & Absolu de Vanille - Tenue Longue Durée - Spray Vaporisateur","118,50€",Cosmétique et Beauté,"4,7"
Coffret cadeau parfums haut gamme pour femmes – 6 x 35 ml Eau de Parfum femme portable Huile de Parfum longue durée Souligne votre charme,"19,99€",Cosmétique et Beauté,"4,4"
"Cacharel - Amor Amor - Eau De Toilette - Parfum Sensuel, Doux et Romantique pour Femme - Une Fragrance Florale, Fruitée et Ambrée - Parfum de Luxe pour Femme","59,84€",Cosmétique et Beauté,"4,6"
"ULRIC DE VARENS - Eau de Parfum Varensia - Floral, Fruité, Chypré - Parfum Femme - Vaporisateur - Made in France - 50 ml","9,17€",Cosmétique et Beauté,"4,4"
"Cacharel - Loulou - Eau de Parfum - Envoûtant, Sensuel, Énigmatique - Fragrance Florale & Ambrée - Longue Tenue - Parfum de Luxe pour Femme","55,95€",Cosmétique et Beauté,"4,6"
