nom_produit,prix,categorie,note
"NIVEA Crème visage, corps & mains (lot de 4 x 150 ml), crème hydratante à la texture onctueuse enrichie en Eucerit, soin hydratant multiusage pour toute la famille","7,34€",Cosmétique et Beauté,"4,7"
NIVEA Lait corps Hydratation Intense 72H (1 x 625 ml) — Lait Nourrissant à l'Acide Hyaluronique pur & Huile d'Amande Douce — Crème hydratante corps pour peaux sèches à très sèches,"8,99€",Cosmétique et Beauté,"4,7"
"NIVEA Crème visage, corps & mains (1 x 250 ml), crème hydratante à la texture onctueuse enrichie en Eucerit, soin hydratant multiusage pour toute la famille","3,52€",Cosmétique et Beauté,"4,7"
"NIVEA Crème visage, corps & mains (1 x 400 ml), crème hydratante à la texture onctueuse enrichie en Eucerit, soin hydratant multiusage pour toute la famille","6,25€",Cosmétique et Beauté,"4,7"
"NIVEA REPAIR & CARE Baume Réparateur Visage, Corps & Mains Peaux Très Sèches (1 x 400 ml), Crème à la vitamine E & glycérine pour peaux rugueuses extra sèches, Soin corps hydratant 72H","5,85€",Cosmétique et Beauté,"4,6"
"NIVEA Soft Crème de soin hydratante (1 x 500 ml), Pot de crème pour le corps à l’hydratation intense, Soin corporel contenant de l’huile de jojoba et de la vitamine E","6,99€",Cosmétique et Beauté,"4,7"
NIVEA Lait Corps Hydratant Douceur 72h (1 x 250 ml) — Crème hydratante à l'Acide Hyaluronique pur & Beurre de karité — Soin pour le corps avec sérum hydratant nourrissant peaux sèches,"3,54€",Cosmétique et Beauté,"4,7"
"NIVEA Soft Crème de soin hydratante 3-en-1 (1 x 200 ml), Crème visage, corps et mains pour une hydratation intense, Crème hydratante multiusage","2,97€",Cosmétique et Beauté,"4,7"
"NIVEA SOFT Crème de soin multi-usage hydratante 48H (1 x 50 ml), Soin hydratant Visage, Corps & Mains à la vitamine E & Huile de Jojoba, Formule Vegan lègère, 95% ingrédients d'origine naturelle","1,73€",Cosmétique et Beauté,"4,7"
"NIVEA Soft Crème de soin hydratante (1 x 375 ml), Pot de crème pour le corps à l’hydratation intense, Soin corporel contenant de l’huile de jojoba et de la vitamine E","4,48€",Cosmétique et Beauté,"4,7"
NIVEA Lait Corps Fermeté Q10 48H (1x 400ml) — Lait hydratant enrichi en Co-Enzyme Q10 & Vitamine C — Crème Hydratante raffermissante pour le corps pour peaux normales,"5,35€",Cosmétique et Beauté,"4,7"
Nivea Crème 400 ml,"7,95€",Cosmétique et Beauté,"4,7"
"NIVEA Luminous 630 Soin de Jour Protecteur FPS 50 (1x40 ml), soin visage anti taches et anti-âge au Thiamidol & Acide Hyaluronique, soin femme perfecteur de teint, crème hydratante visage","19,99€",Cosmétique et Beauté,"4,4"
