nom_produit,prix,categorie,note
Unilever Cif Nettoyant Spécialiste Acier Inoxydable Spray 460 g,"17,99€",Consommation Courante,"4,2"
Cif - Crème à récurer - Cleanboost Technologie original - élimine 100% des saletés tenaces sans rayer les surfaces (lot prOMO de 8x750ml),"22,00€",Consommation Courante,"4,5"
Dove Trousse de Toilette pour Homme,"22,49€",Consommation Courante,"4,4"
Persil - Lessive Liquide Peaux Sensibles – Parfum hypoallergénique Fleur de Coton pour respecter les peaux fragiles - Savon de Marseille - Testée Dermatologiquement & Certifiée ECARF - 43 Lavages,"5,74€",Consommation Courante,"4,7"
DOVE - Gel Douche - Essentiel Fraîcheur - Nettoie en douceur et adoucit la peau - Testé dermatologiquement - 0% Sulfate (lot promo de 2x 450ml),"6,50€",Consommation Courante,"4,6"
"Skip Lessive liquide Mon Cycle Court Parfait Efficacité Express - 37 lavages - 1ère lessive conçue pour cycle court, efficace dès 15 minutes","12,99€",Consommation Courante,"4,7"
Skip - Lessive Liquide Active Clean - Propreté Impeccable - Fraîcheur Longue Durée - Détache les vêtements tout en respectant fibres et couleurs - 28 Lavages (Lot de 2),"19,26€",Consommation Courante,"4,7"
Dove Pain de Toilette original hydratant - Le paquet de 4x90g,"4,59€",Consommation Courante,"4,7"
AXE Déodorant Homme Spray Anti-Transpirant Cocoa Velvet - Collection Prestige - Fraîcheur 72h non-stop - Parfum chocolat ruby vanille et cèdre - 150ml,"4,42€",Consommation Courante,"4,7"
OMO - Capsules Lessive Absolu Fraîcheur Insolente - Lessive Capsules aux Perles Booster de Parfum - Parfum d'Eucalyptus et Zestes d'Agrumes - Propreté impeccable - Gamme OMO Absolu,"7,67€",Consommation Courante,"4,5"
"Vaseline Original Protecting Jelly, Crème Protectrice et Réparatrice, Adaptée aux Peaux Sensibles, Peau Sèche Nourrie, Barrière Cutanée Régénérée, Avec Gelée de Pétrole Pure, 2x 250ml","12,89€",Consommation Courante,"4,6"
Tabasco Sauce Epicée Chipotle aux notes fumées - Lot de 3 flacons de 60ml,"10,71€",Consommation Courante,"4,8"
Cif - Infinite+Clean - Spray Nettoyant Tout en 1 - Multi-surfaces - Nettoyage sans Efforts et Longue Durée - Aux Probiotiques Naturels - 280ml,"5,59€",Consommation Courante,"4,6"
Vaseline Lip Therapy Original | Baume à lèvres nourrissant pour une hydratation optimale | (Original (2 Pièce)),"7,99€",Consommation Courante,"4,3"
Sun - Tablettes Lave-Vaisselle Tout-en-1 Citron - Éliminent + de 99 Taches du Quotidien sans Prérinçage - 80% d'Ingrédients d'Origine Naturelle - Utilisation Simple - 32 Pastilles Lave-Vaisselle,"5,27€",Consommation Courante,"4,5"
AXE - Déodorant Homme Spray - Jungle Fresh - 48h non-stop frais - Parfum feuilles de palmier et ambre - 200ml,"4,75€",Consommation Courante,"4,4"
Vaseline Gelée de Pétrole Pure - Originale - 50 ml,"5,28€",Consommation Courante,"4,5"
Vaseline BlueSeal Pure Petroleum Jelly 1.7oz (50ml) Jar by UNILEVER,"3,99€",Consommation Courante,"5,0"
OMO - Lessive Liquide Mon Cycle Court Parfumé Fraîcheur Insolente - Lessive Cycles Courts Efficace dès 15 minutes - Thé Vert et Mandarine - Formule Testée Dermatologiquement - Gamme OMO,"8,09€",Consommation Courante,"4,6"
Persil - Lessive Liquide Bouquet de Provence – Parfum au extraits naturels de lavande & au Savon de Marseille - 61 lavages - Encore Plus Efficace Même à Froid - Testée Dermatologiquement,N/A,Consommation Courante,"4,5"
Sun - Pro Expert - Pastilles Lave Vaisselle - 168 capsules - Action 4 en 1 - Citron - Elimine 100% des taches brûlées de +72h - dégraissent en Profondeur - 7x24 capsules,"29,36€",Consommation Courante,"4,5"
"Soupe Goulash Hongroise Instantanée Unilever, Cup a Soup, Soupe en Sachet, Soupe Minute, Unox, 21 x 175 ml","30,99€",Consommation Courante,"3,7"
"TRESemme Keratin Smooth Deep Smoothing Mask Traitement capillaire à la kératine hydrolysée pour des cheveux doux, brillants et sans frisottis 440 ml","14,40€",Consommation Courante,"4,5"
TRESemmé Après-shampoing hydratant avec vitamine E pour cheveux secs et abîmés 900 ml,"15,25€",Consommation Courante,"4,7"
"TRESemmé Lamellar Shine Shampooing pour cheveux, sans vie et sans vie, 400 ml","6,26€",Consommation Courante,"4,6"
Dove Mini Trousse de Toilette de Voyage pour Femme,N/A,Consommation Courante,"4,7"
St Ives - Apricot Scrub Invigorating 150ml,"9,50€",Consommation Courante,"4,6"
St. Ives Gel douche exfoliant purifiant au sel de mer et au varech du Pacifique (650 ml) fabriqué avec des nettoyants végétaux et un exfoliant 100 % naturel 473 ml,"17,99€",Consommation Courante,"4,6"
Dove - Déodorant pour Tout le Corps - Spray - Lavande & Camomille - Anti Odeurs et Traces Blanches 72h - Conçu pour les Peaux Sensibles - 150ml (Lot de 2),"10,98€",Consommation Courante,"4,2"
"Dove Mousse douche à l'huile de rose, 200 ml","9,99€",Consommation Courante,"4,4"
Sun Tablette Lave-Vaisselle Tout en 1 - La boite de 40 doses,"12,15€",Consommation Courante,"5,0"
Sun Tablette lave-vaisselle tout en 1 - Le packet de 759g,"12,09€",Consommation Courante,"5,0"
"Vaseline Men Lotion, Body & Face, 24.5 oz. by UNILEVER BEAUTY (English Manual)","20,54€",Consommation Courante,"4,7"
DOVE Déodorant Spray Anti-Transpirant Apaise & Aide à réparer - Invisible Dry - Semi-compressé - 72h de protection - lot de 6x200ml,"27,54€",Consommation Courante,"5,0"
"SheaMoisture Shampooing, Après-shampooing et Masque Capillaire pour cheveux secs et abîmés Miel de Manuka et Huile de Mafura Shampooing 1x384ml, Après-shampooing 1x384 ml, Masque capillaire 1x355 ml","40,99€",Consommation Courante,"4,3"
"Noxzema Classic Clean Cream, Original Deep Cleansing 12 oz by Noxzema","22,92€",Consommation Courante,"4,3"
"AXE Gel Douche Homme Ultime Aqua Bergamot - 12h de fraîcheur - parfum bergamote, sauge et genévrier - lot de 2x225ml","7,18€",Consommation Courante,N/A
Brut 3 x Original All In One Showergel Hair & Body Duschgel je 500 ml for men,"23,28€",Consommation Courante,"4,6"
St. Ives Blemish Fighting Apricot Facial Scrub 150ml Pack of 3,"18,86€",Consommation Courante,"4,6"
POND'S Dreamflower Talcum powder 100gm by HIndustan Unilever Ltd india,"14,89€",Consommation Courante,"4,0"
TRESemmé Biotin Repair Masque de récupération instantanée avec biotine et complexe Pro-bond 440 ml,"14,99€",Consommation Courante,"4,5"
Vaseline Essential Moisture Cocoa Radiant Lotion 200ml Pack of 3,"14,45€",Consommation Courante,"4,4"
AXE Gel Douche Homme 5en1 Numéro 10-24h Hydratant - parfum de pamplemousse et de menthe aquatique - 400ml,"8,38€",Consommation Courante,"4,7"
Radox Mineral Therapy Feel Awake Lot de 6 gels douche 2 en 1 mélangés avec des herbes et un parfum minéral marin et fenouil pour une expérience rafraîchissante 225 ml,"22,54€",Consommation Courante,"4,7"
Monsavon Authentique 4X100g,"3,49€",Consommation Courante,"4,6"
"Dove Men+Care Déodorant en aérosol Invisible Dry, anti-transpirant","15,74€",Consommation Courante,"4,6"
Dove Advanced Care Lot de 6 gels douche nourrissants pour le corps avec nutriments naturels pour une peau douce instantanément 400 ml,"41,72€",Consommation Courante,"4,8"
"SheaMoisture Shampooing et Après-shampooing pour cheveux secs et abîmés Miel de Manuka et Huile de Mafura Shampooing 1 x 384 ml, Après-shampooing 1 x 384 ml - 2 articles","29,79€",Consommation Courante,"4,0"
"Ariel Original Lessive Liquide, 100 Lavages, Action Détachante En 1 Seul Lavage, Impeccable Même A Froid, Fabriqué En France","31,00€",Consommation Courante,"5,0"
"Ariel Ultra Détachant Lessive Liquide, 100 Lavages (4x25), Élimine Même les Tâches Incrustées Depuis 7 Jours, Impeccable Même à Froid","51,60€",Consommation Courante,N/A
"ALVITYL HYDRINK BEAUTÉ – Électrolytes – Biotine, Zinc – Hydratation, Peau, Cheveux, Ongles – Pastilles Effervescentes – Goût Framboise – 20 comprimés effervescents","5,89€",Consommation Courante,"4,4"
Canard WC - Recharges Fresh Disc Marine – Bloc Sans Cage Nettoyant WC - 3x100 Jours De Nettoyage Puissant – 6 Recharges,"17,97€",Consommation Courante,"4,6"
"Bell Bird Dégorgeoir en Cristaux de Soude Caustique, Déboucheur Puissant pour Éviers, Canalisations et Tuyaux de Douche dans la Salle de Bain et la Cuisine-Une bouteille","12,99€",Consommation Courante,"2,9"
Amazerbst Lot de 3 éponges luffa pour homme et femme (Pink White Blue),"8,99€",Consommation Courante,"4,3"
"Swiffer Duster Plumeau Recharges, 23 Unités, Capture Poussière, Saleté, Poils et Allergènes, Efficace Contre 99.9% des Poussières, même dans Les Coins Difficiles, Manche Vendu Séparément","13,50€",Consommation Courante,"4,8"
"Swiffer WetJet 12 Recharges Jetables Nettoyantes Multi-Surfaces, Retient la Poussière et Saleté, Pour Tous Types de Sol, Sans Traces ni Résidus","6,99€",Consommation Courante,"4,8"
